Time,CPU Usage (%)
Fri Mar 22 15:18:41 2024,5.81229
Fri Mar 22 15:18:42 2024,5.81303
Fri Mar 22 15:18:43 2024,5.81485
Fri Mar 22 15:18:44 2024,5.82047
Fri Mar 22 15:18:45 2024,5.81900
Fri Mar 22 15:18:46 2024,5.81734
Fri Mar 22 15:18:47 2024,5.81591
Fri Mar 22 15:18:48 2024,5.81455
Fri Mar 22 15:18:49 2024,5.81879
Fri Mar 22 15:18:50 2024,5.81713
Fri Mar 22 15:18:51 2024,5.81515
Fri Mar 22 15:18:52 2024,5.81423
Fri Mar 22 15:18:53 2024,5.81247
Fri Mar 22 15:18:54 2024,5.81640
Fri Mar 22 15:18:55 2024,5.82617
Fri Mar 22 15:18:56 2024,5.82689
Fri Mar 22 15:18:57 2024,5.82613
