element,median,mean,stdev,var
capsfilter0,0.08372099999999999,0.09289306535947711,0.040938104408777445,0.0016759283925839633
rtpstreamdepay0,0.20317249999999998,0.2230874346405228,0.09742553396666691,0.009491734668690167
queue0,0.158646,0.24626089542483665,0.5151952789661308,0.26542617546898933
rtph264depay0,0.134683,0.14721593661971835,0.08628480011392625,0.007445066730700209
queue1,0.1185815,0.14744055281690135,0.143653366789475,0.020636289789951433
h264parse0,0.19733,0.23659689679715298,0.18627468635292072,0.03469825877587899
queue2,0.125702,0.19564608896797145,0.6557282787922115,0.4299795756077963
openh264dec0,2.908452,3.52031629749104,2.788715508557489,7.776934187669054
queue3,0.510732,0.6353057096774195,1.249621758412067,1.5615545390968666
gluploadelement0,0.3131895,0.36298810431654693,0.18463416484160047,0.03408977482675529
glcolorconvertelement0,1.9885225,2.226563478417267,2.4208992140827843,5.860753004746643
glcolorbalance0,0.190793,0.2007276870503596,0.04255345043047337,0.0018107961435387542
