60 Seconds,,,,
RPI --> Laptop ,,,,
element,median,mean,stdev,var
capsfilter0,0.141914,0.150665,0.076469,0.00584751
openh264enc0,8.43277,8.71356,1.75337,3.07429
queue0,0.234969,0.32071,0.341385,0.116544
queue1,0.280876,0.342389,0.261611,0.0684406
queue2,0.122933,0.188117,0.204791,0.0419394
queue3,0.0848135,0.139585,0.165364,0.0273453
rtph264pay0,0.176793,0.194189,0.0674741,0.00455276
rtpstreampay0,0.0845545,0.0956614,0.0409176,0.00167425
Total Time,9.559623,10.1448764,2.9113817,3.34063382
Laptop --> Process Frames,,,,
element,median,mean,stdev,var
capsfilter0,0.033405,0.036144,0.0101324,0.000102666
h264parse0,0.066522,0.0692176,0.0272929,0.000744904
openh264dec0,0.751597,0.761959,0.170829,0.0291826
openh264enc0,1.29111,1.34652,0.386983,0.149756
queue0,0.033208,0.0445484,0.0394301,0.00155473
rtph264depay0,0.04527,0.0444339,0.0107579,0.000115733
rtph264pay0,0.0668,0.0700914,0.0385168,0.00148355
rtpstreamdepay0,0.082893,0.0874277,0.0767426,0.00588942
rtpstreampay0,0.03112,0.0286359,0.0074667,5.58E-05
t,0.061838,0.0663623,0.0658974,0.00434246
Total Time,2.463763,2.5553402,0.8340488,0.193227815
Laptop processed frames ---> RPI Display,,,,
element,median,mean,stdev,var
capsfilter0,0.095758,0.0995995,0.0338665,0.00114694
h264parse0,0.147535,0.165219,0.0842915,0.00710506
openh264dec0,2.24947,2.41241,0.927089,0.859495
rtph264depay0,0.095258,0.105901,0.0327927,0.00107536
rtpstreamdepay0,0.203867,0.219071,0.111755,0.0124893
Total Time,2.791888,3.0022005,1.1897947,0.88131166
